,City,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
70,egvekinot,92,93,66.32,-179.17,39.99,9.78
71,indian head,92,91,50.53,-103.67,30.18,7.99
72,bonavista,32,85,48.65,-53.11,56.91,22.3
73,bundaberg,0,92,-24.87,152.35,71.85,8.66
74,hualmay,12,92,-11.1,-77.61,59.88,2.95
75,luderitz,8,78,-26.65,15.16,58.98,9.89
76,karratha,0,15,-20.74,116.85,97.95,12.35
77,tuktoyaktuk,40,92,69.44,-133.03,19.4,4.7
78,yatou,40,100,3.63,9.81,73.4,4.07
79,codrington,80,99,-28.95,153.24,62.4,2.84
80,burgeo,92,88,47.61,-57.61,56.82,22.53
81,pacifica,1,82,37.61,-122.49,60.98,4.7
82,castro,0,100,-42.48,-73.76,34.05,4.41
83,richards bay,12,92,-28.77,32.06,61.59,3.85
84,xinyang,0,37,32.13,114.07,80.13,9.78
85,ust-karsk,92,95,52.71,118.82,49.71,5.08
86,santa maria del oro,68,60,25.95,-105.37,61.41,2.73
87,kapaa,40,76,22.08,-159.32,80.06,6.93
88,foshan,0,30,23.02,113.11,86.0,11.18
89,hosangadi,20,69,13.7,74.96,86.07,9.44
90,puerto ayora,0,100,-0.74,-90.35,68.79,12.24
91,port hardy,90,93,50.7,-127.42,44.6,4.63
92,mulege,0,94,26.88,-111.98,71.4,4.07
93,vardo,90,84,39.62,-77.74,73.4,8.05
94,mpulungu,32,55,-8.77,31.12,71.4,14.14
95,dharchula,0,61,29.85,80.53,54.75,1.5
96,lompoc,20,87,34.64,-120.46,62.06,4.7
97,tomislavgrad,0,76,43.71,17.23,53.6,5.82
98,taoudenni,0,36,22.68,-3.98,67.8,5.64
99,kavaratti,88,100,10.57,72.64,80.76,16.04
100,nikolskoye,40,90,59.7,30.79,35.6,8.95
101,roald,75,70,62.58,6.12,48.2,29.97
102,torbay,75,93,47.66,-52.73,60.8,20.8
103,ostringen,5,100,49.22,8.71,42.8,2.95
104,laguna,0,58,27.52,-110.01,78.42,3.62
105,arraial do cabo,76,97,-22.97,-42.02,72.75,12.24
106,atuona,36,100,-9.8,-139.03,79.59,8.77
107,cherskiy,92,95,68.75,161.3,34.23,7.99
108,saint george,75,64,39.45,22.34,68.0,10.29
109,vaini,48,71,15.34,74.49,84.0,10.33
110,sibolga,80,100,1.74,98.78,74.1,1.05
111,busselton,48,100,-33.64,115.35,62.67,9.33
112,narsaq,88,34,60.91,-46.05,33.8,1.12
113,leningradskiy,88,94,69.38,178.42,37.38,3.85
114,san cristobal,75,93,-0.39,-78.55,51.8,4.7
115,cabo san lucas,5,83,22.89,-109.91,78.8,5.82
116,afua,92,100,5.27,7.87,73.65,4.52
117,guerrero negro,0,100,27.97,-114.04,66.27,10.45
118,brandon,90,95,43.59,-96.57,41.0,6.93
119,college,40,11,64.86,-147.8,49.28,5.82
120,jawhar,0,62,19.91,73.23,93.63,5.64
121,salair,8,50,54.23,85.8,53.58,3.4
122,clyde river,90,86,70.47,-68.59,28.4,13.87
123,galle,90,100,29.74,-97.91,78.08,3.36
124,hobart,20,51,-42.88,147.33,59.0,11.41
125,yaan,92,92,7.38,8.57,75.81,7.54
126,tver,64,87,56.86,35.92,38.1,14.36
127,yuli,44,91,10.52,9.86,69.78,3.85
128,kaitangata,0,68,-46.28,169.85,49.62,18.61
129,mehtar lam,1,47,34.67,70.21,72.86,3.36
130,maruim,40,73,-10.74,-37.08,77.0,6.93
131,samarai,0,100,-10.62,150.67,77.52,12.68
132,axim,56,100,4.87,-2.24,76.53,5.08
133,miri,76,92,10.31,9.75,68.88,2.73
134,tromso,0,86,69.65,18.96,28.4,21.92
135,yellowknife,90,67,62.45,-114.38,23.0,5.82
136,rognan,75,100,67.1,15.4,37.4,13.87
137,san jose,0,67,15.79,120.99,84.81,4.07
138,dikson,88,98,73.51,80.55,39.09,22.19
139,pinega,92,96,64.7,43.39,37.2,6.98
140,bethel,92,96,60.79,-161.76,47.64,12.57
141,namibe,56,100,-15.19,12.15,66.81,3.62
142,cidreira,24,85,-30.17,-50.22,56.55,10.78
143,chifeng,0,31,42.27,118.96,71.49,7.76
144,maba,0,45,24.68,113.59,76.08,6.42
145,yulara,0,15,-25.24,130.99,87.8,10.29
146,salalah,0,58,17.01,54.1,82.4,2.24
147,longyearbyen,75,85,78.22,15.63,24.8,6.93
148,hermanus,36,70,-34.42,19.24,55.2,3.62
149,praya,75,49,-8.71,116.27,89.6,3.36
150,kodiak,90,100,39.95,-94.76,53.06,9.89
151,mahibadhoo,88,100,3.78,72.97,79.5,30.13
152,pinar del rio,44,76,22.42,-83.7,80.31,7.2
153,gemena,44,95,3.25,19.78,71.4,2.95
154,port elizabeth,1,97,39.31,-74.98,75.02,5.82
155,camacha,20,94,33.08,-16.33,68.0,4.74
156,santa marta,20,100,11.24,-74.21,79.23,9.44
157,moyale,0,69,3.52,39.05,71.85,6.98
158,kalmunai,88,90,7.42,81.82,81.3,6.87
159,konevo,0,67,41.67,25.61,47.91,2.73
160,heinola,75,86,61.2,26.03,37.4,8.05
161,machilipatnam,40,56,16.18,81.14,93.2,6.93
162,sistranda,75,81,63.73,8.83,44.6,25.28
163,maragogi,92,98,-9.01,-35.22,71.58,4.85
164,broome,90,100,52.47,1.45,54.5,9.17
165,port hedland,0,17,-20.31,118.58,98.6,18.34
166,champerico,48,82,16.38,-93.6,70.77,2.73
167,adrar,0,42,27.87,-0.29,62.6,6.93
168,anaconda,90,89,46.13,-112.94,35.96,5.82
169,makakilo city,75,83,21.35,-158.09,80.06,6.93
170,lorengau,48,100,-2.02,147.27,83.01,8.43
171,ritchie,0,44,-29.03,24.6,57.2,3.36
172,vao,92,100,59.1,26.19,38.1,11.68
173,seydi,44,83,13.34,7.75,71.31,3.4
174,nemuro,75,42,43.32,145.57,66.2,12.75
175,saint-leu,0,50,-21.15,55.28,78.8,13.87
176,oktyabrskiy,75,74,55.61,37.97,37.4,13.42
177,ilula,56,83,-7.68,36.04,64.47,5.08
178,nome,40,84,30.04,-94.42,80.06,4.7
179,conde,76,90,-11.81,-37.61,75.63,6.2
180,mayo,5,67,63.59,-135.9,32.0,6.93
181,yar-sale,100,99,66.83,70.83,46.47,22.53
182,kieta,88,100,-6.22,155.63,78.69,0.72
183,kongolo,88,93,-5.39,27.0,71.58,3.51
184,krasnokamensk,0,42,50.1,118.04,54.39,12.91
185,kaeo,20,55,-35.1,173.78,64.38,7.31
186,la roda,0,100,39.21,-2.16,50.0,3.36
187,rawlins,20,71,41.79,-107.24,50.0,19.46
188,sao filipe,0,99,14.9,-24.5,78.78,8.77
189,elizabeth city,1,90,36.3,-76.22,77.0,5.82
190,chuy,0,93,-33.69,-53.46,43.95,7.31
191,pisco,90,88,-13.71,-76.2,64.4,6.93
192,lagoa,0,52,37.14,-8.45,69.8,8.05
193,bay city,1,86,43.59,-83.89,43.7,4.7
194,mar del plata,0,100,-46.43,-67.52,37.83,4.97
195,talnakh,92,94,69.49,88.39,36.57,11.01
196,padang,0,100,-0.92,100.36,81.12,8.21
197,lakes entrance,48,87,-37.88,147.99,56.55,9.78
198,ulagan,12,44,50.63,87.96,42.15,2.06
199,hami,0,38,42.84,93.51,62.4,9.78
200,nacala,0,89,-14.56,40.69,78.42,11.23
201,bontang,20,90,0.12,117.47,86.16,2.95
202,machado,32,93,-21.69,-45.92,63.12,3.85
203,hamilton,20,93,43.26,-79.87,50.0,4.7
204,hagere selam,12,88,6.48,38.52,63.21,2.73
205,tiebissou,75,94,7.16,-5.23,75.2,6.93
206,benguela,8,100,-12.58,13.4,68.34,0.27
207,moerai,56,100,-22.43,-151.33,69.51,15.03
208,los llanos de aridane,20,73,28.66,-17.92,71.6,4.7
209,yantarnyy,75,87,54.87,19.94,53.6,11.18
210,veere,0,87,51.55,3.67,60.8,12.75
211,flinders,75,55,-34.58,150.85,60.8,20.8
212,key west,75,97,47.93,-96.78,32.0,4.7
213,tomatlan,36,94,19.93,-105.25,76.26,1.16
214,wanning,0,87,48.64,13.53,42.8,3.36
215,mayumba,56,98,-3.44,10.65,75.9,5.19
216,volovo,64,97,53.55,38.01,36.3,13.24
217,arman,20,49,59.7,150.17,46.4,13.42
218,caravelas,8,100,-17.73,-39.27,77.25,13.69
219,usinsk,68,93,66.0,57.56,43.77,14.03
220,uruzgan,0,28,32.93,66.63,61.05,2.62
221,eyl,0,87,7.98,49.82,79.5,11.45
222,bay roberts,75,93,47.58,-53.28,60.8,20.8
223,moorhead,90,100,46.87,-96.75,35.6,11.41
224,nantucket,75,93,41.28,-70.1,68.0,4.7
225,itarema,12,90,-2.92,-39.92,75.36,9.89
226,sola,20,86,62.78,29.36,33.8,8.05
227,faanui,32,100,-16.48,-151.75,78.87,16.49
228,jiangkou,0,64,30.7,117.56,73.2,12.91
229,tanah merah,75,74,5.81,102.15,86.0,8.05
230,vila franca do campo,40,72,37.72,-25.43,68.0,13.87
231,natal,40,69,-5.81,-35.21,78.8,11.41
232,carnarvon,12,34,-30.97,22.13,52.41,5.41
233,touros,76,87,-5.2,-35.46,76.71,12.01
234,goderich,0,89,43.74,-81.71,44.4,6.42
235,tpig,68,62,41.78,47.59,49.98,1.05
236,the pas,1,74,53.82,-101.24,28.4,4.7
237,aklavik,5,85,68.22,-135.01,17.6,5.82
238,teguise,20,82,29.06,-13.56,68.0,2.24
239,san carlos de bariloche,0,51,-41.13,-71.31,39.2,12.75
240,tarakan,8,72,3.3,117.63,89.31,3.51
241,nizhniy kuranakh,80,63,58.84,125.49,39.72,4.85
242,jiangyou,68,70,31.78,104.73,68.61,4.07
243,parana,75,94,-7.52,-72.89,75.2,3.36
244,benghazi,64,100,32.12,20.07,74.73,23.09
245,phulabani,8,59,20.47,84.23,89.4,4.18
246,petropavlovsk-kamchatskiy,0,35,53.05,158.65,55.4,20.13
247,taua,92,99,8.79,-12.72,71.85,3.96
248,paamiut,92,100,61.99,-49.67,36.93,48.14
249,sulangan,20,100,11.14,123.72,85.98,2.62
250,muros,20,81,42.77,-9.06,51.8,4.7
251,yelnya,0,91,54.58,33.19,34.95,9.33
252,ponta do sol,20,91,-20.63,-46.0,66.63,7.09
253,margate,20,51,-43.03,147.26,59.0,11.41
254,alice springs,0,14,-23.7,133.88,84.2,9.17
255,ballina,75,93,54.11,-9.15,41.0,4.7
256,yumaguzino,100,98,52.9,56.39,50.7,3.62
257,glendive,90,100,47.11,-104.71,33.8,5.82
258,newport,90,100,51.59,-3.0,57.2,4.7
259,pangnirtung,88,84,66.15,-65.72,31.71,31.25
260,ust-omchug,80,81,61.13,149.63,25.77,6.98
261,batemans bay,92,94,-35.71,150.18,54.57,6.53
262,talara,24,95,-4.58,-81.27,62.4,4.74
263,kholtoson,80,53,50.3,103.31,32.7,8.88
264,atambua,0,76,-9.11,124.89,86.43,6.64
265,dunedin,48,72,-45.87,170.5,48.72,10.45
266,upernavik,0,100,72.79,-56.15,25.59,11.79
267,portland,20,57,45.52,-122.67,55.94,4.7
268,westport,75,93,53.8,-9.52,41.0,4.7
269,monywa,36,89,22.12,95.13,83.1,3.74
270,thompson,40,85,55.74,-97.86,17.6,2.73
271,ambilobe,24,62,-13.19,49.05,79.86,8.77
272,coahuayana,56,93,18.62,-100.35,63.93,2.95
273,basco,90,91,40.33,-91.2,57.2,8.05
274,norman wells,40,67,65.28,-126.83,23.0,4.7
275,pryozerne,0,80,49.42,24.47,33.8,4.47
276,mandalgovi,32,70,45.76,106.27,37.74,15.03
277,san juan,40,62,14.6,121.03,87.8,10.29
278,independence,90,96,39.09,-94.42,55.94,3.36
279,leh,36,51,34.16,77.58,26.94,1.61
280,nanortalik,92,99,60.14,-45.24,35.4,21.41
281,port lincoln,48,87,-34.72,135.86,59.43,12.68
282,mabay,0,94,20.35,-76.78,73.4,6.93
283,lebu,0,36,8.96,38.73,65.1,3.74
284,pevek,76,98,69.7,170.27,40.98,10.67
285,kudahuvadhoo,80,100,2.67,72.89,79.95,26.55
286,alofi,48,83,-19.06,-169.92,77.0,6.93
287,nadym,32,87,65.53,72.51,48.18,19.51
288,roma,40,56,41.89,12.48,71.6,5.82
289,klaksvik,75,81,62.23,-6.59,44.6,18.34
290,longyan,0,43,25.1,117.03,75.27,3.18
291,nagaur,0,28,27.2,73.74,97.14,6.08
292,tonstad,40,66,58.66,6.71,50.0,9.17
293,manati,0,82,41.76,19.67,59.0,1.12
294,manaure,68,100,11.78,-72.45,77.7,3.74
295,kandalaksha,0,100,67.15,32.41,25.86,2.84
296,puerto cabezas,68,100,14.04,-83.39,80.31,9.78
297,ibiuna,90,93,-23.66,-47.22,60.8,9.17
298,cabedelo,75,78,-6.97,-34.84,77.0,5.82
299,pimenta bueno,64,95,-11.68,-61.19,72.93,2.17
300,mersing,24,100,2.43,103.84,82.65,5.64
301,grand gaube,20,53,-20.01,57.66,77.0,11.41
302,mataram,48,75,-5.32,105.06,84.45,4.07
303,ust-kuyga,88,84,70.0,135.55,29.91,4.52
304,comodoro rivadavia,0,45,-45.87,-67.48,48.2,6.93
305,goundi,8,84,9.36,17.37,76.53,5.75
306,komsomolskiy,92,96,67.55,63.78,42.6,16.71
307,berdigestyakh,68,67,62.1,126.7,37.83,5.19
308,poronaysk,0,58,49.22,143.1,61.41,7.76
309,kintampo,68,92,8.05,-1.73,74.28,8.77
310,rocha,0,77,-34.48,-54.34,40.08,8.21
311,tahe,0,46,52.34,124.71,66.18,6.87
312,shirakawa,75,68,37.12,140.24,69.8,8.05
313,cartagena,20,93,37.63,-1.0,59.0,3.36
314,loding,20,87,48.05,12.68,42.8,3.36
315,brenham,1,94,30.17,-96.4,77.0,6.76
316,ogdensburg,1,79,44.69,-75.49,42.98,4.7
317,poum,40,66,41.28,20.71,53.6,3.36
318,carahue,20,73,-38.71,-73.16,50.97,5.97
319,mount gambier,0,68,-37.83,140.78,63.93,4.74
320,delta del tigre,0,71,-34.76,-56.41,55.4,6.93
321,bubaque,20,94,11.28,-15.83,73.4,3.36
322,ketchikan,1,82,55.34,-131.65,46.94,3.62
323,dwarka,8,49,28.58,77.04,91.4,4.7
324,ahuimanu,75,81,21.44,-157.84,80.06,6.93
325,tsogni,76,100,-2.79,10.1,77.16,8.43
326,shelburne,1,100,44.08,-80.2,44.6,2.24
327,saldanha,0,80,41.42,-6.55,45.21,1.61
328,oussouye,0,100,12.49,-16.54,81.48,13.58
329,berlevag,20,100,70.86,29.09,32.0,10.29
330,itea,92,100,38.43,22.42,58.98,4.97
331,correntina,24,52,-13.34,-44.63,76.71,5.64
332,labuhan,48,66,-2.54,115.51,87.33,2.95
333,darab,0,28,28.75,54.55,78.96,2.39
334,tabuk,48,63,17.41,121.44,79.23,2.17
335,sao felix do xingu,0,90,-6.64,-51.99,74.73,1.95
336,isangel,76,100,-19.55,169.27,73.2,5.41
337,rawson,0,89,-43.3,-65.11,42.24,11.79
338,matagami,92,96,9.67,8.4,68.43,2.95
339,hasaki,75,94,35.73,140.83,71.6,12.75
340,pecos,1,75,31.42,-103.49,73.94,10.29
341,tiarei,20,64,-17.53,-149.33,75.2,5.82
342,cap malheureux,20,50,-19.98,57.61,77.0,8.05
343,sorland,75,87,67.67,12.69,42.8,6.93
344,ormara,0,88,25.21,64.64,81.57,5.08
345,fort morgan,0,77,40.25,-103.8,46.04,5.82
346,coihaique,0,75,-45.58,-72.07,41.0,8.05
347,zelenoborsk,44,91,61.47,64.05,54.48,8.1
348,vanimo,20,100,-2.67,141.3,83.82,5.97
349,yerbogachen,0,50,61.28,108.01,41.88,3.74
350,starobachaty,44,65,54.24,86.21,49.98,3.85
351,sarangani,12,100,5.4,125.46,82.83,7.43
352,copiapo,80,82,-27.37,-70.33,55.4,6.93
353,erzin,0,65,36.95,36.2,78.8,1.12
354,nuuk,88,100,64.17,-51.74,32.0,26.4
355,staryy nadym,32,87,65.61,72.68,48.18,19.51
356,kasangulu,20,78,-4.59,15.17,75.2,1.12
357,tolaga bay,24,70,-38.37,178.3,59.79,6.2
358,mmabatho,0,54,-25.85,25.61,59.0,14.99
359,yemelyanovo,0,53,56.17,92.69,50.0,8.95
360,suratgarh,0,33,29.32,73.9,94.44,12.57
361,urman,0,83,49.57,24.95,41.43,3.74
362,rio gallegos,0,88,-51.62,-69.22,42.8,8.05
363,cherat,20,47,33.82,71.89,80.6,6.93
364,alto araguaia,92,97,-17.32,-53.22,67.35,5.75
365,kentau,0,21,43.52,68.5,76.53,3.18
366,dymer,0,93,50.78,30.31,41.0,6.71
367,derzhavinsk,0,32,51.1,66.31,65.19,9.78
368,ilulissat,0,44,69.22,-51.1,19.4,24.16
369,bud,75,75,62.91,6.91,48.2,17.22
370,ballitoville,0,85,-29.54,31.21,58.26,3.62
371,waitara,0,91,-39.0,174.24,55.83,10.33
372,sazonovo,44,86,54.2,39.81,38.28,16.49
373,gizo,0,65,31.8,34.94,77.0,5.82
374,constitucion,0,70,23.99,-104.67,54.3,2.84
375,andros town,20,74,24.73,-77.79,80.6,6.93
376,lingao,0,71,19.91,109.69,86.25,4.41
377,alekseyevsk,80,54,57.84,108.35,38.55,8.1
378,sebinkarahisar,36,77,40.29,38.42,48.9,2.95
379,kiruna,90,100,67.86,20.23,28.4,5.82
380,kutum,0,53,14.2,24.66,76.53,4.63
381,usvyaty,0,97,55.75,30.75,35.49,8.88
382,starobaltachevo,80,100,56.0,55.92,50.52,5.64
383,conceicao da barra,24,92,-18.59,-39.73,76.71,9.78
384,calafell,20,88,41.2,1.57,62.6,5.82
385,golden,88,98,51.3,-116.96,23.61,1.72
386,prince rupert,90,87,54.32,-130.32,44.6,4.7
387,smithers,75,70,54.78,-127.17,32.0,2.24
388,bagua grande,64,92,-5.75,-78.44,60.51,1.39
389,santiago del estero,56,53,-27.8,-64.26,63.21,7.76
390,bongandanga,64,96,1.51,21.07,73.29,3.18
391,jiblah,0,40,13.92,44.15,74.37,2.95
392,sokoni,12,50,-12.89,28.78,73.2,11.12
393,rock sound,68,100,24.9,-76.2,82.2,16.82
394,garowe,0,95,8.41,48.48,76.98,7.43
395,bahadurganj,8,65,26.26,87.82,88.23,4.63
396,depalpur,0,79,30.67,73.65,80.76,12.46
397,lasa,20,51,34.92,32.53,84.2,8.05
398,bow island,90,92,49.87,-111.38,35.6,2.24
399,alencon,0,87,48.43,0.08,48.2,8.77
400,tikri,0,78,29.73,77.01,83.1,5.08
401,uruguaiana,0,62,-29.77,-57.08,59.0,13.87
402,hammerfest,0,100,70.66,23.68,35.6,8.05
403,santa cruz,20,93,36.97,-122.03,60.98,5.82
404,ozernovskiy,92,83,51.5,156.52,46.47,21.07
405,ahipara,36,72,-35.17,173.16,62.04,11.23
406,zverinogolovskoye,48,49,54.46,64.85,65.91,12.8
407,shanghai,90,83,31.23,121.49,71.6,15.66
408,mezen,24,77,65.85,44.24,40.08,4.74
409,maumere,20,91,-8.63,122.22,85.8,8.77
410,bilma,0,37,18.69,12.92,72.48,3.85
411,fortuna,0,93,38.18,-1.13,60.8,2.24
412,muhos,92,98,64.81,26.0,35.6,14.99
413,vytegra,0,100,61.01,36.45,39.63,11.68
414,san benito,92,97,6.13,-73.51,62.13,2.39
415,el tigre,56,94,8.89,-64.25,73.74,7.2
416,sarkand,0,37,45.41,79.91,67.08,4.97
417,irbeyskoye,20,69,55.64,95.45,48.9,6.2
418,rayagada,0,51,19.17,83.42,88.41,3.4
419,mvuma,0,73,-19.28,30.53,54.93,12.01
420,sangar,76,79,63.92,127.47,35.85,5.64
421,pacific grove,20,93,36.62,-121.92,60.8,5.82
422,santa maria,64,76,-29.69,-53.81,48.09,6.76
423,beroroha,0,37,-21.68,45.17,80.76,3.06
424,namatanai,100,100,-3.66,152.44,79.23,10.0
425,severo-kurilsk,0,85,50.68,156.12,49.98,21.74
426,deputatskiy,92,89,69.3,139.9,27.3,3.51
427,husavik,80,95,50.56,-96.99,31.17,6.31
428,esso,64,71,55.93,158.7,32.61,5.3
429,kurayoshi,75,58,35.43,133.83,84.2,17.22
430,araouane,0,34,18.9,-3.53,68.16,4.18
431,srednekolymsk,88,76,67.46,153.71,31.53,6.98
432,leshukonskoye,80,89,64.9,45.76,38.1,7.76
433,hokitika,24,100,-42.72,170.96,52.77,4.52
434,palembang,40,44,-2.99,104.76,95.0,9.17
435,kribi,92,100,2.94,9.91,74.46,3.29
436,mitsamiouli,20,65,-11.38,43.28,82.4,5.82
437,fairbanks,40,11,64.84,-147.72,49.28,5.82
438,carbonia,80,93,39.17,8.53,60.8,10.29
439,eirunepe,8,91,-6.66,-69.87,75.45,2.95
440,nushki,0,41,29.55,66.02,75.0,3.62
441,san ramon,88,95,12.92,-85.84,66.72,2.28
442,bocaiuva,0,68,-17.12,-43.81,72.3,7.2
443,chachapoyas,48,92,-6.23,-77.87,55.02,2.17
444,mantua,0,87,45.16,10.79,51.8,5.82
445,marsh harbour,0,100,26.54,-77.06,81.57,13.35
446,mehamn,20,100,71.03,27.85,35.6,10.29
447,kouroussa,56,99,10.65,-9.88,68.43,3.4
448,lavrentiya,92,89,65.58,-170.99,45.93,23.2
449,khartoum,0,43,15.59,32.54,89.6,3.36
450,hebi,0,29,35.75,114.29,78.78,4.52
451,trairi,20,100,-3.28,-39.27,79.23,17.72
452,barranca,24,100,-10.75,-77.76,61.05,6.64
453,podhum,0,44,45.39,14.47,60.8,9.17
454,donskoye,40,75,45.45,41.98,46.4,22.37
455,manchar,24,64,19.0,73.94,85.8,7.09
456,naze,40,100,5.43,7.07,73.4,4.52
457,bitung,40,46,1.44,125.19,91.4,12.75
458,vieques,20,90,18.43,-65.83,78.98,10.78
459,mpika,32,56,-11.84,31.4,69.42,15.26
460,kenai,90,92,60.55,-151.26,46.94,4.7
461,makat,92,83,47.65,53.35,57.09,12.01
462,saint-augustin,0,87,44.83,-0.61,53.6,5.82
463,kloulklubed,75,83,7.04,134.26,82.4,4.7
464,launceston,48,58,-41.43,147.14,57.2,18.34
465,velyka bahachka,0,73,49.79,33.72,42.96,8.66
466,hay river,75,86,60.82,-115.79,26.6,4.7
467,joshimath,20,68,30.57,79.57,31.89,1.39
468,sibu,90,100,2.29,111.83,73.4,2.51
469,dukat,0,72,42.44,22.31,41.97,2.28
470,coos bay,1,96,43.37,-124.22,48.02,5.82
471,west wendover,75,56,40.74,-114.07,55.04,9.17
472,libertador general san martin,90,52,-23.81,-64.79,64.4,3.51
473,atar,48,32,20.52,-13.05,82.83,8.1
474,tigre,0,62,-34.42,-58.58,55.4,4.18
475,kurchum,0,48,48.57,83.65,61.23,12.24
476,alexandria,1,90,31.31,-92.44,73.94,4.7
477,hohhot,40,58,40.81,111.65,53.6,4.47
478,honiara,75,70,-9.43,159.96,86.0,4.7
479,arti,92,100,56.43,58.53,46.65,4.63
480,biltine,0,75,14.53,20.93,79.23,6.64
481,pouembout,76,57,-21.12,164.9,74.1,1.39
482,te anau,12,82,-45.41,167.72,45.03,2.84
483,chumikan,0,73,54.72,135.31,53.58,7.43
484,avera,1,95,33.19,-82.53,75.92,5.08
485,malanje,36,97,-9.54,16.35,65.37,3.51
486,atasu,0,34,48.68,71.64,63.3,8.55
487,fuling,36,75,29.71,107.39,73.56,3.85
488,zhuhai,40,58,40.71,112.04,53.6,4.47
489,altamira,12,76,-3.2,-52.21,79.68,5.75
490,kota tinggi,75,67,1.73,103.9,93.2,3.36
491,ponta delgada,40,72,37.73,-25.67,68.0,13.87
492,nisia floresta,40,69,-6.09,-35.21,78.8,11.41
493,chon buri,40,52,13.36,100.98,89.6,12.75
494,karaton,20,46,-6.34,106.1,93.2,16.11
495,ukiah,1,86,39.15,-123.21,51.98,2.17
496,mumford,48,94,5.26,-0.76,76.08,5.53
497,kahului,20,69,20.89,-156.47,80.06,6.93
498,haines junction,48,89,60.75,-137.51,23.7,2.17
499,vila velha,40,78,-3.71,-38.6,78.8,10.29
